First Name,Last Name,URL,Email Address,Company,Position,Connected On
Contact00001,Fixture,https://www.linkedin.com/in/contact-00001,contact-00001@example.invalid,Company 1,Role 1,2026-01-01
Contact00002,Fixture,https://www.linkedin.com/in/contact-00002,contact-00002@example.invalid,Company 2,Role 2,2026-02-02
Contact00003,Fixture,https://www.linkedin.com/in/contact-00003,contact-00003@example.invalid,Company 3,Role 3,2026-03-03
Contact00004,Fixture,https://www.linkedin.com/in/contact-00004,contact-00004@example.invalid,Company 4,Role 4,2026-04-04
Contact00005,Fixture,https://www.linkedin.com/in/contact-00005,contact-00005@example.invalid,Company 5,Role 5,2026-05-05
Contact00006,Fixture,https://www.linkedin.com/in/contact-00006,contact-00006@example.invalid,Company 6,Role 6,2026-06-06
Contact00007,Fixture,https://www.linkedin.com/in/contact-00007,contact-00007@example.invalid,Company 7,Role 7,2026-07-07
Contact00008,Fixture,https://www.linkedin.com/in/contact-00008,contact-00008@example.invalid,Company 8,Role 8,2026-08-08
Contact00009,Fixture,https://www.linkedin.com/in/contact-00009,contact-00009@example.invalid,Company 9,Role 9,2026-09-09
Contact00010,Fixture,https://www.linkedin.com/in/contact-00010,contact-00010@example.invalid,Company 10,Role 10,2026-10-10
Contact00011,Fixture,https://www.linkedin.com/in/contact-00011,contact-00011@example.invalid,Company 11,Role 11,2026-11-11
Contact00012,Fixture,https://www.linkedin.com/in/contact-00012,contact-00012@example.invalid,Company 12,Role 12,2026-12-12
Contact00013,Fixture,https://www.linkedin.com/in/contact-00013,contact-00013@example.invalid,Company 13,Role 13,2026-01-13
Contact00014,Fixture,https://www.linkedin.com/in/contact-00014,contact-00014@example.invalid,Company 14,Role 14,2026-02-14
Contact00015,Fixture,https://www.linkedin.com/in/contact-00015,contact-00015@example.invalid,Company 15,Role 15,2026-03-15
Contact00016,Fixture,https://www.linkedin.com/in/contact-00016,contact-00016@example.invalid,Company 16,Role 16,2026-04-16
Contact00017,Fixture,https://www.linkedin.com/in/contact-00017,contact-00017@example.invalid,Company 17,Role 17,2026-05-17
Contact00018,Fixture,https://www.linkedin.com/in/contact-00018,contact-00018@example.invalid,Company 18,Role 18,2026-06-18
Contact00019,Fixture,https://www.linkedin.com/in/contact-00019,contact-00019@example.invalid,Company 19,Role 19,2026-07-19
Contact00020,Fixture,https://www.linkedin.com/in/contact-00020,contact-00020@example.invalid,Company 20,Role 20,2026-08-20
Contact00021,Fixture,https://www.linkedin.com/in/contact-00021,contact-00021@example.invalid,Company 21,Role 21,2026-09-21
Contact00022,Fixture,https://www.linkedin.com/in/contact-00022,contact-00022@example.invalid,Company 22,Role 22,2026-10-22
Contact00023,Fixture,https://www.linkedin.com/in/contact-00023,contact-00023@example.invalid,Company 23,Role 23,2026-11-23
Contact00024,Fixture,https://www.linkedin.com/in/contact-00024,contact-00024@example.invalid,Company 24,Role 24,2026-12-24
Contact00025,Fixture,https://www.linkedin.com/in/contact-00025,contact-00025@example.invalid,Company 25,Role 25,2026-01-25
Contact00026,Fixture,https://www.linkedin.com/in/contact-00026,contact-00026@example.invalid,Company 26,Role 26,2026-02-26
Contact00027,Fixture,https://www.linkedin.com/in/contact-00027,contact-00027@example.invalid,Company 27,Role 27,2026-03-27
Contact00028,Fixture,https://www.linkedin.com/in/contact-00028,contact-00028@example.invalid,Company 28,Role 28,2026-04-28
Contact00029,Fixture,https://www.linkedin.com/in/contact-00029,contact-00029@example.invalid,Company 29,Role 29,2026-05-01
Contact00030,Fixture,https://www.linkedin.com/in/contact-00030,contact-00030@example.invalid,Company 30,Role 30,2026-06-02
Contact00031,Fixture,https://www.linkedin.com/in/contact-00031,contact-00031@example.invalid,Company 31,Role 31,2026-07-03
Contact00032,Fixture,https://www.linkedin.com/in/contact-00032,contact-00032@example.invalid,Company 32,Role 32,2026-08-04
Contact00033,Fixture,https://www.linkedin.com/in/contact-00033,contact-00033@example.invalid,Company 33,Role 33,2026-09-05
Contact00034,Fixture,https://www.linkedin.com/in/contact-00034,contact-00034@example.invalid,Company 34,Role 34,2026-10-06
Contact00035,Fixture,https://www.linkedin.com/in/contact-00035,contact-00035@example.invalid,Company 35,Role 35,2026-11-07
Contact00036,Fixture,https://www.linkedin.com/in/contact-00036,contact-00036@example.invalid,Company 36,Role 36,2026-12-08
Contact00037,Fixture,https://www.linkedin.com/in/contact-00037,contact-00037@example.invalid,Company 37,Role 37,2026-01-09
Contact00038,Fixture,https://www.linkedin.com/in/contact-00038,contact-00038@example.invalid,Company 38,Role 38,2026-02-10
Contact00039,Fixture,https://www.linkedin.com/in/contact-00039,contact-00039@example.invalid,Company 39,Role 39,2026-03-11
Contact00040,Fixture,https://www.linkedin.com/in/contact-00040,contact-00040@example.invalid,Company 40,Role 40,2026-04-12
Contact00041,Fixture,https://www.linkedin.com/in/contact-00041,contact-00041@example.invalid,Company 41,Role 41,2026-05-13
Contact00042,Fixture,https://www.linkedin.com/in/contact-00042,contact-00042@example.invalid,Company 42,Role 42,2026-06-14
Contact00043,Fixture,https://www.linkedin.com/in/contact-00043,contact-00043@example.invalid,Company 43,Role 43,2026-07-15
Contact00044,Fixture,https://www.linkedin.com/in/contact-00044,contact-00044@example.invalid,Company 44,Role 44,2026-08-16
Contact00045,Fixture,https://www.linkedin.com/in/contact-00045,contact-00045@example.invalid,Company 45,Role 45,2026-09-17
Contact00046,Fixture,https://www.linkedin.com/in/contact-00046,contact-00046@example.invalid,Company 46,Role 46,2026-10-18
Contact00047,Fixture,https://www.linkedin.com/in/contact-00047,contact-00047@example.invalid,Company 47,Role 47,2026-11-19
Contact00048,Fixture,https://www.linkedin.com/in/contact-00048,contact-00048@example.invalid,Company 48,Role 48,2026-12-20
Contact00049,Fixture,https://www.linkedin.com/in/contact-00049,contact-00049@example.invalid,Company 49,Role 49,2026-01-21
Contact00050,Fixture,https://www.linkedin.com/in/contact-00050,contact-00050@example.invalid,Company 50,Role 50,2026-02-22
